anchor,positive,negative
03706,01582,01926
01762,02790,04986
03134,01610,02895
03524,00532,04499
02614,00039,00867
03566,04723,01549
02601,02846,01530
01412,04879,00553
03545,04600,02234
02895,04105,02070
03867,04200,03796
01912,03329,04405
02965,02793,02301
02859,00098,00448
01118,04557,00356
02915,01782,01219
01425,00445,03653
01233,01864,02193
00133,01239,02089
00303,02562,01272
03452,02085,00694
01630,03122,04516
00815,00570,04433
04763,03690,02211
04564,03979,03140
03165,03759,03763
02580,01619,01817
04767,03597,04669
03639,02556,02768
02546,02371,02709
00630,01974,02233
02117,03796,04807
02982,02732,03387
04500,02623,03850
00057,02329,00209
01270,03351,04243
04668,03613,01193
03905,00136,01004
00801,00292,04609
00394,04558,01135
02187,04296,04082
02221,01768,02565
01014,04099,00432
03902,01239,00684
04270,04542,01320
02006,02340,02188
01223,02732,02338
01024,00904,02822
03183,00560,03925
00251,01660,03083
02847,01771,02985
01866,00210,01214
01212,01264,04296
02368,00130,03201
01789,00054,01904
00938,00554,00304
03608,01142,03799
03832,00392,00933
02261,02114,04397
04077,00859,01548
01223,01110,03846
02089,00957,02591
00270,00281,04619
00864,03569,03092
01781,03604,04383
03677,02846,01809
03589,04580,01656
02994,01690,02899
03248,03823,01475
00072,04405,01628
03765,00804,04612
04793,02642,01474
02957,00774,01980
02823,00900,04688
01031,00995,00821
01166,03027,04936
01714,02002,00872
04306,04531,02090
03608,01204,04516
04500,03275,00930
03902,03620,03407
03988,03477,00881
00236,02712,04757
02847,03659,02743
01097,04951,00755
00288,01154,03432
00711,01466,00817
04831,04501,01993
01514,04879,01325
00372,04637,03650
02837,03765,02739
02662,04819,04933
03195,02036,00188
00523,03990,04873
04022,00756,04366
03338,03321,04824
04640,00297,00869
03877,00947,04105
00257,03041,03465
04438,01889,01771
00593,02666,01682
03846,04736,01184
03659,02024,02060
03040,02905,04186
00049,01745,01871
00839,00218,04527
00848,03331,02365
04119,00195,00319
00960,02664,03526
02658,02524,00521
04620,04943,04299
02745,02716,03260
04224,00539,00781
01714,03859,04535
02235,04678,04360
03641,00671,02203
00486,01899,04229
02485,00227,04842
03565,03082,03981
02896,00949,02300
02452,02525,03629
00188,00880,03014
01508,02189,00084
04396,01181,02224
02045,02052,03694
04531,02701,02024
04053,01305,02486
04412,04718,04808
04646,03156,03621
00228,03726,01790
00054,01443,00829
00717,01477,03216
03745,00999,00195
01532,01278,00581
03344,04152,02997
04651,04208,00046
00814,03033,02620
02246,00917,03781
02941,03523,03101
02369,04735,01239
02788,00043,04047
00959,00445,01581
04022,01934,03577
02705,00121,00147
03558,04549,04079
00653,03985,02194
04153,04747,00567
02819,01006,02161
03558,00919,03852
00260,00802,02555
04711,03682,02729
00673,03265,00231
03243,02562,01802
04200,01731,00801
00983,01685,01581
02026,00740,02062
02255,03410,03625
02806,00930,02912
03071,03633,04432
02221,00928,01120
01033,00779,04160
04413,04285,02478
00780,00938,02598
01667,01335,01946
03349,01165,00854
00839,00218,01345
01896,00933,01989
00655,04103,02502
02998,04428,02287
04519,00471,00336
03633,00360,03926
04492,04718,04023
03354,00819,02850
03229,01277,00940
01048,01924,02743
04845,04936,02089
03464,04032,01662
04032,00673,01246
01781,04597,04925
01352,02145,00084
03614,02165,03962
03749,04100,00899
03748,00353,02469
03526,04241,00225
02579,04720,02193
04620,03689,04507
02161,02175,00599
02817,01559,03729
03249,03520,03645
02658,00645,03693
03293,02040,01258
03273,04585,02115
00352,00985,01240
01138,03589,02441
03663,04045,01081
04043,01242,01649
03630,03949,00311
01093,01301,00033
04336,01704,04443
02866,01514,03689
00938,00554,01538
04767,03597,00487
04584,03458,00686
03414,03176,02052
03571,04535,00712
02765,03490,01267
00061,00858,03613
03248,03651,00016
04119,03304,04283
00319,03850,03671
02817,01544,00846
01371,03114,00880
00026,01622,01680
04383,02717,03407
04283,01354,04219
02059,02675,00545
01720,00792,02870
03043,00067,00813
03399,04283,02128
02878,01860,00623
03489,00480,02389
02461,01989,00134
01135,00915,00366
02188,02874,02217
00526,00853,04591
03242,01770,01806
02834,00628,01807
02717,00664,02225
04771,01656,02792
02412,01919,02711
02546,02371,03662
01516,04806,04305
02614,00039,00440
04770,03751,00533
01650,01370,04694
03194,02315,01889
00236,01229,04662
00248,02356,02832
04833,04415,03779
00869,02867,01359
01612,01703,00379
01927,03747,03061
01381,03753,02369
04970,04569,00655
04770,03751,03584
04830,02376,01086
02505,01274,02235
04697,00919,00968
02335,00821,03256
00539,00846,01361
03551,02715,01945
03927,04961,04606
01097,04162,02894
02127,04502,00816
02782,02644,04105
02890,01791,04496
02585,04090,00945
03576,03944,03465
04902,02968,00169
04680,00628,02334
02541,00555,03493
03432,04703,00227
02023,03448,02903
04987,03482,00931
01371,04654,01558
02071,02762,03846
01290,02856,04668
00157,01049,04619
01483,02836,02567
00941,03605,02714
04085,04349,00134
01630,00534,03651
04157,04443,02221
03288,04307,03172
01558,02576,02196
04775,03422,00917
03763,01105,04641
03930,03648,01335
02661,01482,04189
02809,02704,01054
02198,04642,02821
03396,01339,04786
01794,01934,04865
04973,03110,03948
02886,00443,03020
03462,00804,04704
03406,00310,04961
02664,02812,01920
04968,00526,03729
02996,02661,01544
01126,02903,04481
01514,01451,02781
03467,03851,03937
01817,04442,01214
02040,04023,02810
04986,00505,02764
02540,03703,02300
00300,00209,04019
01051,01220,01184
02325,01762,03454
02365,04367,00668
03607,03526,04111
02897,03181,04354
01294,03929,01022
03489,00510,01032
02424,02920,04207
02476,02104,04703
00768,04815,00580
01043,04625,01809
00784,02380,02528
01017,00875,00227
02411,03992,02469
00901,03972,04897
02311,02081,00412
04681,03750,04150
01033,03500,03942
02882,04608,01919
03571,00804,02059
02490,03995,03468
00497,00612,03003
03395,03818,00728
04775,03990,00917
03589,04580,04625
01993,01057,03255
00616,04018,01973
01508,04654,02029
04106,02879,03687
04827,02771,04940
02673,01838,04974
04008,01656,03344
00303,04094,02983
01051,04543,01584
02024,01556,03493
02654,01683,00649
00753,02187,00717
02356,01400,02832
01741,04155,03813
00164,04866,03128
01962,01596,04468
03853,01816,04511
04355,04720,01014
01926,02743,00956
01219,00818,03239
04404,02974,02135
01712,02754,01643
01878,01931,03073
03578,00319,01200
01130,00770,02045
04522,04355,03605
00807,01934,02135
02776,03120,04706
01813,02788,02528
01627,00308,02332
04477,02341,04379
01522,03814,03746
04606,04463,00143
04918,00587,02732
01596,00568,01642
00556,02299,00413
03407,01155,00438
04320,03757,04299
03992,01454,02896
04774,01223,02549
01242,03036,03109
02984,04651,04594
04642,03187,00340
00311,04432,03417
03349,01165,02256
01639,03102,02323
01463,00352,02006
01868,04631,01232
03692,01752,00085
04259,02882,00532
04907,03043,00732
03634,03690,01385
04196,02114,02638
01791,03177,00985
01325,01556,00691
01308,04783,00047
04217,01536,00132
01305,01289,04118
01286,03359,02750
04632,03551,01307
02099,02207,02430
04336,01943,01799
01653,00909,02869
02215,04157,03393
01215,01197,00963
03616,03891,00949
03211,01680,01753
00712,03787,04389
04358,03408,02198
01136,04879,00897
02541,00443,02988
02983,03179,00170
00067,02178,01648
01762,02790,04255
04725,03897,01681
04264,03031,04090
02579,01299,02029
02163,04948,00234
02998,02817,02287
02356,00001,01303
01762,02790,02089
03523,01511,00864
01836,04191,02460
03979,04974,02814
00233,02821,04967
04083,02695,02159
03075,03573,02959
02959,00635,03339
03646,02940,00218
02546,03532,03662
01283,00476,03137
04925,00740,04841
01690,03938,02740
02834,02043,03203
00164,04866,02189
03379,02468,04283
00111,00892,04641
03004,03535,04091
03014,01616,00724
03848,04427,04888
01166,01074,02760
02318,01870,03469
02256,01583,02556
00751,01847,00234
04330,02139,03723
03536,01448,04304
04283,01354,03904
03339,00832,00444
04667,03551,03693
01332,02098,03950
00458,01120,03570
04590,01380,02454
01272,04748,00336
00644,03939,02596
00497,04884,03657
00670,02666,01385
03607,03526,01508
02158,03685,01108
01051,04543,02335
02984,04651,00503
02194,04091,02203
00768,01590,01421
03109,03692,04172
00769,02304,00699
02476,02535,01662
03700,03897,02517
01014,03942,04017
01097,04162,00755
00238,01778,00367
01738,02117,00772
00602,02199,01809
04134,04581,00643
02646,03209,01969
01371,04684,04895
02492,00544,02267
03425,02385,03798
02009,01387,03961
04795,02826,00290
00568,00458,04227
01482,00466,00223
04299,01861,04948
01644,01421,00082
00913,03868,04217
00267,01257,00068
02046,03359,00187
03613,03729,04794
02373,00270,04943
02006,01197,02505
00713,00721,00209
02990,01009,01505
00861,04456,04971
04299,01258,04494
00751,01847,03074
04160,00554,04369
04665,00267,00209
02955,00275,04907
04868,01575,03172
00606,03827,00427
02599,02584,01498
01653,03733,04405
04406,01202,01112
03330,03417,01954
00531,00862,04110
00769,01781,00699
03036,01498,03863
00372,02059,00464
02175,00778,00283
03633,01683,02760
01440,03597,00129
04099,04363,00752
02309,02555,01178
00616,02916,03226
03827,02758,01620
02338,00347,01338
00146,04516,03458
04409,03993,00063
00564,04334,04117
04051,00673,00195
02984,00992,00503
04994,04122,00675
02591,01857,01252
01945,01902,04453
02013,04520,02082
01466,02376,00188
01297,01872,00982
03099,00221,00589
04349,03310,01648
04103,03575,00275
01653,03019,04827
04415,01548,04795
00026,01622,02589
01565,02499,03970
04610,01239,01231
01586,00269,03108
02199,04662,03274
02803,00900,01603
02806,00930,01179
00312,02240,01602
00408,03019,02806
00701,04522,00587
04398,04994,04905
00840,02792,00277
02028,02787,00849
04250,03234,01560
03988,00645,00881
00840,02792,04974
00270,04210,03561
04538,04247,02762
02871,01931,03771
04921,03264,01233
02654,04376,04590
02607,04175,03330
01932,04648,00833
03025,00747,02683
04021,03958,03577
01181,02638,03393
04139,02371,03393
01505,03455,04939
03248,04795,01475
02465,01983,00326
04435,04021,02519
03430,01498,03143
02303,00686,02192
00813,02908,00631
00972,00525,00851
04224,00539,00621
03040,02135,00581
01866,04294,03203
02548,02213,04449
04233,00248,04163
01093,01301,00320
02528,00809,04909
00431,04838,02875
01559,01286,00379
04454,04285,04987
00826,04385,01456
03589,04959,02965
01931,00317,03319
03323,01318,03197
04684,01092,02830
02024,01829,03591
00336,02052,03152
02141,00398,04837
02968,01110,04274
04643,03779,04944
03280,04625,00406
01116,00111,02982
02060,00594,03241
02458,01405,03020
03645,00331,04923
03220,04422,00853
03249,03520,01093
00627,00852,01971
03833,03255,02040
02817,00507,04680
03891,02384,00043
01920,01476,03524
01545,00840,01649
02790,03941,01962
00343,04172,01376
01085,02957,03073
02247,02163,02289
04175,01853,02965
03408,01476,02296
02743,03219,01649
04296,00187,04929
00850,02022,01515
03634,00292,01299
02086,01721,04890
02292,01544,02920
00288,04899,04737
03142,00553,04786
02177,01724,03544
00825,01925,00510
02075,01722,00325
03224,04065,00717
03264,03467,01189
02783,01904,02309
02739,04608,01993
04792,04246,03257
03033,04017,02321
03430,01498,02699
04915,02626,00716
04358,04627,03878
02212,03666,04495
00757,01650,03430
03743,02589,03673
03608,02305,04441
01890,03690,02579
00975,00164,03268
00285,03110,00422
01781,03820,01980
00905,00598,00076
01155,01646,02371
04433,00434,04208
00303,01915,04583
03647,00079,02371
02383,01809,02659
04204,02766,02473
03655,01716,02134
00862,03056,03734
04217,01536,03292
01573,04175,02003
02586,02373,00906
02877,03468,02319
01624,03081,01807
00499,04372,02552
02594,00356,01475
00862,01841,03734
00827,00619,01531
04864,01366,02368
01014,02842,00432
00934,04535,03199
04640,01586,04980
04247,01761,03820
04139,02371,02743
01511,04403,02711
04954,04412,02285
04354,02393,00547
02191,01075,00248
04897,04716,02054
01912,00413,01749
00392,02024,01644
04798,01600,00452
03951,03797,03025
01126,03045,00098
04681,03750,02926
01043,04625,00809
02877,02803,00493
02805,04861,00683
03571,00804,02308
01204,04590,03471
04668,01197,03696
02564,04013,01178
02489,02823,00304
04053,01305,00003
01215,01458,03295
02244,01530,02285
02654,01628,03046
00732,01498,02363
02331,01050,00130
01159,01449,03548
03548,00285,00108
01339,02819,02663
01076,03755,04546
03846,04191,01627
03739,03949,02328
01276,00594,01743
02782,03632,02878
00149,01647,02485
03684,00151,01144
04331,03400,03368
00897,00275,02721
04792,00462,02974
04897,03088,03132
00862,03260,03122
01476,04121,03579
03663,02359,02984
01483,01097,01935
01071,00571,03165
03252,03004,03431
01671,00068,03788
04588,00066,03332
01103,03133,03886
03893,00464,03522
02607,04175,03980
00211,02879,00591
04326,00695,03444
04937,00738,04431
02855,01338,03194
00535,03597,04802
04107,04535,02956
01297,01872,04707
04330,04632,01242
00367,03234,00608
03393,01015,04022
03776,02459,03146
01182,01413,04319
04134,03852,04876
01271,04492,00677
01503,01771,03175
00144,04693,04808
01530,04669,03749
02376,02116,00893
03909,02362,00470
03944,02896,03875
00067,00551,04165
02021,01982,00977
00049,01830,04138
04424,03824,03338
04109,01942,02312
01984,03707,03351
02834,02043,03256
02502,00869,02038
00260,04884,00917
01007,04143,00838
00635,03932,04597
04433,00393,02797
02664,02172,01920
01688,03807,04219
04693,00200,04490
01867,02446,04868
02893,01444,01773
03178,01299,03128
03493,03039,01242
00283,03589,03730
02531,03659,04481
03248,04795,04446
03815,01538,02638
01956,03234,00839
04117,03019,02753
02748,00391,00289
04213,00571,03788
04278,00911,04531
00399,03333,00632
00159,04151,01041
03734,00206,01207
03306,03249,01636
01144,00300,03924
03363,04913,04870
01292,02515,04750
03286,02991,03120
04830,01157,03892
00941,04424,00819
02219,04289,04492
00882,02529,00805
01587,00738,00356
00827,02950,04241
02601,02377,02503
01281,04055,02366
04817,02611,02499
04687,03152,00378
00338,02780,00577
01508,00884,00292
03946,02021,02010
03101,03293,00745
03255,04984,01105
03192,03383,01396
02579,02778,04770
03180,00681,00659
04031,00794,00960
02301,00587,04031
00891,02695,01461
04950,02984,02068
00062,01531,01828
00226,01811,01430
04032,01741,02487
04815,02439,03792
01878,02903,04812
02897,03951,04509
03634,00461,04158
04815,02108,03937
02169,01370,02439
04974,02159,04137
00934,04045,00537
01014,04456,04017
00353,04455,04746
04596,00285,02988
03464,02217,00305
00724,03128,00024
01404,03082,03584
03595,03375,04377
00472,02983,03462
02495,03751,00583
03588,01080,01335
04245,02353,03961
02654,01628,00832
01654,00989,03693
04961,04199,03929
00781,03424,04831
03528,01433,00930
03125,01586,03860
01422,03482,03617
03655,01888,04571
00627,04022,01168
02335,00312,03256
02519,02545,01364
03639,02524,02768
02368,00130,04685
04069,04070,03314
02291,00054,04519
00619,02792,03696
03464,04032,00305
02299,02499,04987
04891,01972,01297
03833,00408,02212
01255,00069,03099
01443,04620,02296
02829,02649,02706
00126,02760,03546
01051,02141,02499
00931,04311,00299
02884,01603,00179
01306,02196,01149
04120,03164,00982
04493,03363,01049
00032,02405,02158
04409,03993,03333
02244,02741,02930
01746,00911,00179
03669,04752,04758
02123,03653,00670
04465,04661,00473
04247,01761,00187
00710,04998,00289
03703,01507,01516
00709,01627,01229
00928,02391,04763
00288,00816,01557
03196,01551,01452
04109,01942,02523
02496,01307,04919
01838,01745,03080
02127,04833,02920
02369,04735,01907
01822,03929,01407
04767,01577,04669
01081,03400,03684
04812,02038,02194
02607,00116,00848
00866,01449,02698
02081,01481,01361
00033,04403,02631
04668,03415,03795
00523,03457,00317
03647,04845,03981
01612,01460,01317
00049,00457,03690
03286,03815,01800
00434,01616,02996
04792,03502,02405
03957,00612,01046
00809,04562,02982
01813,01476,03925
04968,03383,03798
03638,04023,01990
01394,01839,00901
04441,02911,03294
03814,04190,03350
04307,03365,04146
01433,02602,03201
00949,03706,03580
00684,04471,00824
04954,03597,01168
01197,02546,03890
03868,01787,02223
01290,00136,04003
04589,02607,04204
01878,01931,04589
01051,03740,02265
02567,01610,04120
03299,04399,02632
00271,00049,00696
00977,02043,01160
00607,04143,00608
02867,00166,04022
04763,03690,00343
03808,03375,00530
00259,03647,02255
03249,03591,04360
04990,00441,02103
04500,03275,02507
01813,02788,02050
04224,04250,00621
01147,01977,00518
03641,00671,02690
02297,03309,02918
03076,02151,01529
04238,01726,04119
02177,01724,04279
02259,00933,04762
04666,02829,04869
00706,03304,04511
00046,02754,02998
01804,03952,04803
01728,03750,00537
02158,00378,01926
00164,04866,03843
00225,04285,01027
03806,01145,00020
02013,04146,03268
04371,03458,00926
00273,03620,01472
01076,03755,02744
00251,02490,00453
00367,03234,01791
04330,02139,04737
01103,00887,01212
02292,00067,02148
01522,03294,04787
04620,04943,04781
00602,02199,03071
04812,02038,00404
00133,04372,04403
02726,02957,01193
03963,03106,00843
04955,04226,01291
02326,01612,04199
04581,01250,04512
03154,00844,02196
02329,03671,03684
03605,04611,02632
03352,01845,01835
04837,00598,04808
03692,01752,04961
00343,02193,00984
01026,01755,04543
01024,00461,00747
03048,00153,04439
03909,02362,01449
02915,00456,01219
01582,04879,03891
00601,02292,03316
03293,03433,01258
01720,00792,03414
03117,00356,02437
01936,03842,03318
04783,02273,03498
04771,03422,00250
02519,01162,04316
02896,01026,03444
03899,02176,03745
02819,00674,03041
00853,02672,04796
01993,04781,04716
03124,02387,03815
03329,02487,02180
00340,01533,03750
03745,02646,04424
03651,00695,02843
02177,01724,01715
03628,01615,01215
02242,02683,03543
00591,02224,01819
01835,02868,03444
00285,04447,01871
04751,00607,03486
03419,04488,03471
01912,03950,04346
02953,00724,04913
00633,01305,02721
02287,03474,02312
01138,01686,02882
04783,03490,03301
02131,02992,04154
00904,04443,03425
01007,02426,01216
04643,03108,03572
02052,02059,02943
02215,01848,01320
00979,03689,04245
01120,02523,03726
04250,03234,04600
03706,04446,03458
00531,01054,03363
00989,01332,03992
04787,02178,03448
03391,02495,00145
04473,02323,01198
02194,04091,02961
01426,04035,00028
02408,04222,02244
04323,02131,01399
02819,00402,03638
01597,04349,04758
02429,02392,00342
00802,04005,02152
03074,01049,02299
00938,00554,04855
01114,02417,01548
03353,00615,02454
03356,04611,04237
04914,03387,01778
00296,03995,00771
02400,01878,01292
00166,00079,00487
00921,04639,00674
03618,02887,02312
01352,00214,00293
04176,03634,04487
03536,01633,00234
01451,04213,02487
04759,02215,04766
04935,02717,02805
04243,01805,01376
03444,04943,02148
01604,01728,04871
00499,04523,04803
00952,02412,03796
04562,03033,00910
02517,02303,03585
04473,01738,02217
04687,02291,03491
02262,04320,02443
02777,04962,02822
00875,00858,02326
04907,04795,04045
04358,02234,02817
04921,03264,01265
01081,01789,00505
04270,00145,03952
00700,00251,01989
03607,03425,04735
01024,04109,02822
03335,02785,04611
01348,02589,01085
02362,03375,04943
03323,01715,03197
00132,03306,04562
02957,00774,04334
01725,01013,00732
03769,00607,02108
02194,04431,02961
03177,02242,04481
00550,03757,00612
02724,03045,02642
00149,01647,04278
03675,02927,00358
04964,02646,01975
04109,04668,04750
00839,00218,01934
01745,03096,00632
01179,04153,04317
03682,00504,01440
03020,00979,00985
00914,04332,03757
03537,02968,03109
02762,01058,01540
03075,03573,02623
04389,01632,03367
03588,01080,03351
03025,02825,01233
01890,04018,04259
02782,03632,03504
04994,04122,00904
00763,02242,03585
03439,02604,02685
03861,00384,02061
00869,00321,01745
03407,01789,01394
00956,00632,00622
01443,04934,03667
01627,03732,03652
01971,04454,00003
03654,04907,00928
00045,03279,04285
01024,00904,04311
04907,04105,04849
04453,04123,01608
04961,01630,00930
00663,02925,03206
00049,02496,03690
01682,03852,00026
00752,03139,02657
00742,02280,02955
03790,03101,03926
01223,01110,02721
00540,02580,04270
01667,01335,02774
04656,02832,01848
04308,00861,02842
03930,03648,02585
01097,04415,02894
04562,03033,00528
02412,04902,03302
04303,04455,00772
04405,02843,03243
02684,01490,02614
00524,03796,04952
01781,03604,00179
04873,01946,01130
03176,04632,03072
02071,02098,00483
02540,03703,01549
03597,00040,04294
02958,04910,00136
01817,04537,03843
02877,03468,04432
02679,00552,00179
02518,01099,02387
03458,02851,00638
03863,04747,00340
03990,03464,00712
01326,04171,04671
00881,02340,03526
03465,03948,02858
00848,03331,00302
01039,03902,03737
04630,00863,04866
00211,03164,00846
03380,01190,02085
00411,03584,01942
00833,02912,01585
03072,01823,04661
03043,00067,03945
04125,00251,03110
04882,01559,04594
04792,00273,01198
00046,00859,02900
04404,02974,03275
00903,01456,04360
02699,01558,00091
00331,00778,03399
01586,00269,04582
04245,00883,02517
02821,00595,04042
00091,00809,00088
02783,00116,00296
00540,03759,02851
00497,00612,02674
00721,03305,04026
03515,00149,03480
02551,01558,02912
00354,00509,00947
03022,01736,02405
00897,00275,00208
01512,01616,02511
02690,01667,02812
02666,02120,01453
03806,00713,02837
00469,02325,02664
00240,03039,03579
02112,00298,01648
00056,01793,00457
04913,00888,01936
04923,01807,04033
04990,00441,02209
04952,00637,00581
01836,04191,04452
02662,01412,01339
01712,02224,01643
04965,02212,04548
03616,01753,00004
03663,02895,01647
02876,04757,00248
03243,03321,00164
00362,02291,03154
01634,00587,01050
00121,03158,01972
00621,00356,04494
01087,03756,04648
04336,01041,04117
00827,04578,04241
04733,01655,01277
02870,03278,04489
01712,04485,01915
04709,02986,01338
03057,02686,04619
02391,04706,02868
02068,00049,00514
00926,03755,04496
01559,01181,04584
00613,04285,03763
01429,03715,01977
01706,01184,00289
02765,02656,03693
00879,01712,01011
03093,04550,02093
01167,04742,02019
04570,04316,00378
00408,03019,00910
03408,01627,03026
04742,01318,00972
01107,01348,01544
00653,03457,00342
01749,02254,04255
02902,01515,02716
04124,00392,03875
00240,03039,04542
02294,01746,00813
02331,01678,02640
01688,02554,01548
02792,00765,03464
02159,03547,01688
04214,03008,02248
00833,04534,01960
00128,01655,01494
01020,01574,02192
02758,04390,03140
03776,03086,04286
01249,04367,02571
04939,00137,03498
04678,03014,04377
03106,04307,00792
03158,04026,02052
04668,02527,00953
01931,03306,01350
00587,01165,02239
00475,01466,01839
02507,00791,04962
03286,03815,04963
03169,03684,04861
03890,00505,01474
01107,02426,01544
01452,04305,03944
04019,01335,01514
02758,02552,02143
04697,03243,01615
00531,00862,04775
03682,01131,01440
01895,00045,02957
04923,03669,03352
04684,01562,00682
01050,02400,00805
04010,03093,02151
04827,01249,04191
03589,04959,04625
03350,02026,04882
03695,04038,04863
00246,01144,01731
02370,04757,01954
04031,03962,02793
00290,00402,03014
00905,00598,03446
00281,00521,03556
03302,01407,00846
04788,00044,04636
03140,04517,03074
00448,00048,02565
00921,04639,01305
03406,04709,01956
00493,01067,04206
02977,00903,01510
03649,01086,04298
03524,03808,02158
03662,04246,03927
02594,01731,04477
01843,04562,00720
04330,01708,00470
00720,04891,01645
03757,02750,00263
02441,01779,01819
02285,04524,01406
04967,03717,01559
00082,00498,04822
02112,00298,03523
00897,00275,01743
02513,01037,03492
00717,00752,02543
03074,00153,02299
01775,04789,02186
02381,00815,04932
00758,03425,03500
02476,02535,01434
04098,00085,02717
03352,03670,04680
00826,00708,01855
04344,04412,02380
02545,04619,02093
03255,03559,01105
02071,04926,02297
04170,00892,03873
04791,02998,02977
01870,04955,02627
02907,01925,04625
04902,03628,00531
00853,03400,01284
02381,01568,02766
00457,01993,01430
02998,01240,01421
00699,01560,00147
00720,02910,01126
02234,00045,00484
03140,01889,00907
04438,04323,03806
03329,04338,03439
04620,03167,02977
04933,03180,00467
02539,00585,03999
03374,02280,03469
01745,02273,02537
03616,01753,00949
04355,01829,00712
03892,02545,04886
04333,01830,00375
03229,02187,02947
01700,03911,00292
04174,01051,03634
04832,01601,04264
02383,00709,04004
04380,01977,03670
01006,02240,03415
04526,01281,01480
03455,00818,03536
02116,00332,04323
00393,01619,01384
01031,04643,00021
04884,02242,00206
02205,00433,03164
02797,04565,03046
04842,01321,03635
03559,03143,04307
04926,01911,01620
03909,04683,01169
02193,02243,04588
03498,04044,04806
00686,02062,01124
00296,00239,04494
01813,02788,01403
02817,00824,04313
02744,00616,01795
04122,00310,02315
02777,04962,03422
03639,01714,01019
01820,02753,03571
04412,04718,01050
00979,04503,03072
02955,00275,04401
02859,00098,01745
00797,04581,03089
02874,04877,00843
01871,02575,00609
00422,03817,04324
04971,02019,01387
00422,04978,03239
02304,02003,04539
02140,02022,02061
00957,04244,03169
00399,04796,00221
01516,01975,04807
02444,02780,03769
04974,04201,00680
01126,02127,04886
00126,00864,04820
04783,03490,00012
00408,01364,00576
03165,03759,02465
00905,01777,00554
01175,03259,02454
01441,01725,02809
00164,01549,01575
00763,02312,03585
03417,02662,03445
00607,04693,00851
04831,01516,04127
02219,04289,00551
03175,01635,00689
01026,03571,04543
01286,02440,03245
03023,00456,01231
01680,01009,02469
02314,03587,02534
02194,01353,00088
03833,03704,04551
01644,00077,02026
01038,03135,03744
00901,00004,04105
02373,03717,02869
04361,04275,02579
02338,01338,04427
03688,02368,00583
02021,03688,01458
03673,01763,03667
02338,01776,04977
00528,03207,03311
00644,03278,02596
01271,04103,03725
01393,01651,00145
02246,00778,02052
00486,01321,04229
01516,00137,01461
00589,01927,02401
01603,00047,04138
03330,03417,04688
01120,00630,03799
00720,01073,01126
00466,01866,00523
01827,00022,01897
04355,03076,01014
03643,01822,00003
02408,01882,01565
00910,01565,01388
04261,02224,03892
00027,02834,02688
01950,02300,01614
03136,03726,00243
01984,02957,03970
03621,01708,04990
01303,04788,00088
00707,01755,03360
02128,02256,00657
01333,03775,01476
04610,02374,01231
03607,04799,02667
04743,02626,03207
00827,00470,01370
04196,03029,04582
01345,04098,01678
04794,00139,01591
02461,00930,03899
01123,01445,02819
01709,01703,04588
04570,00411,03938
04214,01705,03268
04111,02582,00308
01939,02496,04246
01112,03930,03751
04492,01129,01752
00904,04443,00094
00139,00233,02913
01882,00861,03163
01869,00547,04139
03391,04631,03573
02525,03725,03748
03489,01361,03378
03920,00967,04680
01745,03096,03548
02383,00622,00473
04643,03788,01746
04558,01169,04930
04371,02481,01770
04652,02003,03549
01755,00663,00622
03014,03464,04934
03588,03755,01113
01466,02376,02092
02586,02886,00169
00136,00480,01663
03379,00056,04465
03700,03897,04956
03140,03283,01864
01138,01239,00782
04522,02758,04818
01860,04750,00672
01003,00041,00633
02834,02043,01160
04833,04558,01633
03239,00915,01603
03074,01049,04493
00874,02754,03179
02100,01162,01851
00026,00677,01785
04454,04285,04612
01136,04879,04558
03353,02028,04076
03125,02497,03268
02334,03824,00237
03065,02936,02513
00763,03003,03585
04051,02128,01688
00144,03976,00067
04313,03657,02810
01421,01562,04646
04355,02812,00016
03861,03572,03706
04758,03513,04647
01022,03304,03700
01135,04649,00332
01845,00070,01110
02194,04910,00940
01503,01646,04508
03125,02497,01528
01942,01408,01635
02803,00900,00740
02169,03543,04205
00147,03993,00807
01138,01686,04955
03243,01117,01802
03092,04163,03702
00704,03195,00868
04329,03249,03353
00499,04372,03143
04907,03268,03712
00483,00891,01706
02955,00049,00757
02225,02772,04085
04908,00267,03418
04646,03156,02177
01860,04250,04879
02247,02163,01424
04772,01822,02285
01039,01327,03890
04124,02104,03875
00303,02910,01796
02695,01762,03380
02188,02874,00815
01071,03194,04899
03628,01146,02291
03354,00928,03305
04813,03753,01536
03385,02959,03640
03526,03455,04156
03941,00740,02762
01485,03442,03295
04792,02086,01198
03259,00233,02365
02502,00282,00274
02407,01839,02904
00298,00179,03559
00827,04578,02094
00303,03156,03474
02264,04350,03619
03256,02424,03755
00014,03601,04601
03417,02662,00795
01779,03162,02766
00778,01811,03344
02071,04926,00943
03045,04455,04346
00872,01124,01391
02499,04286,03614
04926,01911,02115
01745,02671,04241
00682,00952,04039
02332,00214,01034
03504,02017,02690
01225,04720,00756
04226,02093,03616
00101,02356,00728
03654,04907,03625
00413,03945,04485
02703,02428,02175
02175,00778,02667
03739,00943,01168
02974,00869,01981
00459,00460,00756
02235,02131,00625
01475,04550,01276
04671,03050,00274
01371,03114,00100
03421,04066,03659
02594,04399,03751
00148,02632,00874
01721,04099,02996
04398,02741,03288
04355,03076,00245
02291,00054,02764
03244,04109,04206
01645,00128,03205
01433,00580,02145
03442,03776,03750
